Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.5488588084181405,0.5487945695347582,0.5487945695347582,0.5488598743834633,3.401369333267212
LGBMClassifier,0.5480683726904456,0.5477470152367061,0.547747015236706,0.547754695732588,0.3647122383117676
AdaBoostClassifier,0.547080328030827,0.5470134245513687,0.5470134245513687,0.547080328030827,1.6578834056854248
RandomForestClassifier,0.5455982610413991,0.5454987131748881,0.5454987131748881,0.545580291228203,6.563935279846191
LabelSpreading,0.5421401047327339,0.5418178715790014,0.5418178715790015,0.5418223130793206,57.913984298706055
XGBClassifier,0.541349669005039,0.5412987322181344,0.5412987322181343,0.5413565024510925,1.4204049110412598
LabelPropagation,0.5410532556071534,0.5407320628514614,0.5407320628514614,0.5407371606334304,34.89596462249756
SVC,0.5414484734710009,0.5405196619175456,0.5405196619175456,0.538733649752198,40.49595260620117
KNeighborsClassifier,0.530678786681158,0.5305878434570163,0.5305878434570163,0.5306671561579853,2.300286293029785
CalibratedClassifierCV,0.530678786681158,0.5301507001907996,0.5301507001907997,0.5297927317241563,12.750141859054565
BaggingClassifier,0.5289003062938444,0.5299620056771995,0.5299620056771995,0.5253287790339276,2.338050365447998
RidgeClassifierCV,0.5302835688173105,0.5295584692885473,0.5295584692885473,0.5286012459222553,0.07802486419677734
RidgeClassifier,0.5302835688173105,0.5295584692885473,0.5295584692885473,0.5286012459222553,0.05595684051513672
LinearDiscriminantAnalysis,0.5302835688173105,0.5295584692885473,0.5295584692885473,0.5286012459222553,0.11128759384155273
NearestCentroid,0.5301847643513486,0.5294032059047499,0.5294032059047499,0.528227601612872,0.05089235305786133
LinearSVC,0.5292955241576919,0.5287047842993042,0.5287047842993042,0.5281813225810386,3.790480852127075
LogisticRegression,0.5288015018278827,0.5281926748489096,0.5281926748489096,0.5276163095662778,0.0822911262512207
BernoulliNB,0.5270230214405691,0.5271248900307199,0.5271248900307199,0.5270098157571426,0.05485248565673828
SGDClassifier,0.5268254125086453,0.5270689631874051,0.5270689631874051,0.5266590042388947,0.13964629173278809
ExtraTreeClassifier,0.5232684517340184,0.5234129996635797,0.5234129996635797,0.5232217985384042,0.07878899574279785
NuSVC,0.5214899713467048,0.5224004582251867,0.5224004582251867,0.5188288018281962,53.95772314071655
DecisionTreeClassifier,0.5209959490168956,0.5209035754827653,0.5209035754827654,0.5209840785376658,0.40293335914611816
GaussianNB,0.5231696472680565,0.5200392089351099,0.5200392089351099,0.48911765854365863,0.05590176582336426
PassiveAggressiveClassifier,0.5145736587293746,0.5167441141488742,0.5167441141488743,0.4986714342476911,0.08424758911132812
QuadraticDiscriminantAnalysis,0.519316273095544,0.5146156330055547,0.5146156330055546,0.4342064368209376,0.06905031204223633
Perceptron,0.5074597371801205,0.5086707892144614,0.5086707892144614,0.5025543352623695,0.07813835144042969
DummyClassifier,0.49688765932220136,0.4970078943551303,0.49700789435513026,0.4968566277206217,0.044980764389038086
